============================================================
Weight loss = 9
============================================================

Summary (2490 trails):
  s   weight      value
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
 -1        9  -0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
 -1        9  -0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
  1        9   0.001953
